mode,epoch,step,ce,l_over,l_under,r_hedge,tcl_total,n_volatile,pred_confident_frac,c_hat_grad_norm
fixed,0,0,11.159077644348145,0.00949218962341547,0.03753906115889549,0.0,11.159077644348145,4,1.0,2.6270954608917236
fixed,0,1,11.589666366577148,0.0061765387654304504,0.07508697360754013,4.0650367736816406e-05,11.589666366577148,4,0.25,
fixed,0,2,4.07303524017334,0.003310923697426915,0.11091059446334839,0.0003451108932495117,4.07303524017334,4,0.25,
fixed,0,3,3.980036497116089,0.0036858939565718174,0.1066385805606842,0.0026742219924926758,3.980036497116089,4,0.5,
fixed,0,4,3.1149513721466064,0.0,0.13393329083919525,0.019928574562072754,3.1149513721466064,4,0.0,
fixed,0,5,3.810824155807495,0.0,0.09241002798080444,0.07152402400970459,3.810824155807495,4,0.25,12.571001052856445
fixed,0,6,2.843858242034912,0.0,0.05565018206834793,0.21787965297698975,2.843858242034912,4,1.0,
fixed,0,7,3.8257269859313965,0.044229015707969666,0.010181647725403309,0.36263203620910645,3.8257269859313965,4,1.0,
fixed,0,8,2.99306058883667,0.08934217691421509,0.00693760858848691,0.5407619476318359,2.99306058883667,4,1.0,
fixed,0,9,2.1623318195343018,0.07394854724407196,0.007026964798569679,0.7102138996124268,2.1623318195343018,4,1.0,
fixed,0,10,2.22393536567688,0.0,0.006381306331604719,0.8816729187965393,2.22393536567688,4,1.0,7.748918533325195
fixed,0,11,2.688014030456543,0.012619275599718094,0.0017050416208803654,1.0256469249725342,2.688014030456543,4,1.0,
fixed,0,12,1.386223316192627,0.11196915805339813,0.00039715092862024903,1.1572952270507812,1.386223316192627,4,1.0,
fixed,0,13,1.7450987100601196,0.05302397161722183,0.00118074263446033,1.0933446884155273,1.7450987100601196,4,1.0,
fixed,0,14,2.537281036376953,0.13194957375526428,0.0017141735879704356,0.9211599826812744,2.537281036376953,4,1.0,
fixed,0,15,1.7505682706832886,0.03635350242257118,0.025215687230229378,0.6681110858917236,1.7505682706832886,4,1.0,7.002291202545166
fixed,0,16,2.7000882625579834,0.008156223222613335,0.009322131052613258,0.8492123484611511,2.7000882625579834,4,0.0,
fixed,0,17,2.843201160430908,0.0004698792763520032,0.07264747470617294,1.1309127807617188,2.843201160430908,4,0.0,
fixed,0,18,2.3618197441101074,0.0,0.1917627453804016,1.1822868585586548,2.3618197441101074,4,0.0,
fixed,0,19,3.031428098678589,0.000208218494663015,0.1273569017648697,1.0817747116088867,3.031428098678589,4,0.0,
fixed,0,20,2.540062427520752,0.0035425988025963306,0.08522069454193115,0.7186393737792969,2.540062427520752,4,0.0,20.817182540893555
fixed,0,21,1.6954597234725952,0.00902379397302866,0.07032360136508942,0.35167455673217773,1.6954597234725952,4,0.0,
fixed,0,22,2.044965982437134,0.021466875448822975,0.02105661667883396,0.30125343799591064,2.044965982437134,4,0.0,
fixed,0,23,1.5958993434906006,0.09958106279373169,0.004308398813009262,0.42057323455810547,1.5958993434906006,4,1.0,
fixed,0,24,2.329916000366211,0.08132819086313248,0.0026075304485857487,0.5172349214553833,2.329916000366211,4,1.0,
fixed,0,25,2.986009120941162,0.1322484314441681,0.0,0.5919005274772644,2.986009120941162,4,1.0,30.62624740600586
fixed,0,26,1.8171160221099854,0.08276146650314331,0.004344576969742775,0.565013587474823,1.8171160221099854,4,1.0,
fixed,0,27,2.970371961593628,0.11641834676265717,0.002713584341108799,0.533547580242157,2.970371961593628,4,1.0,
fixed,0,28,1.333598017692566,0.09706085920333862,0.003383172210305929,0.4680355191230774,1.333598017692566,4,1.0,
fixed,0,29,2.756162166595459,0.07222679257392883,0.005751953925937414,0.41358041763305664,2.756162166595459,4,1.0,
fixed,0,30,2.0128657817840576,0.03242022544145584,0.014418539591133595,0.4021190404891968,2.0128657817840576,4,0.75,6.70897912979126
fixed,0,31,1.9426088333129883,0.010250559076666832,0.059225667268037796,0.4516376256942749,1.9426088333129883,4,0.0,
fixed,0,32,3.0542516708374023,0.0076353829354047775,0.07654105126857758,0.5111656188964844,3.0542516708374023,4,0.0,
fixed,0,33,2.325909376144409,0.0119665851816535,0.057980746030807495,0.577488899230957,2.325909376144409,4,0.0,
fixed,0,34,2.558032751083374,0.014616204425692558,0.031760323792696,0.6286157369613647,2.558032751083374,4,0.0,
fixed,0,35,2.1877334117889404,0.012983940541744232,0.03478523716330528,0.6686881184577942,2.1877334117889404,4,0.0,0.53231281042099
fixed,0,36,3.0824530124664307,0.013263537548482418,0.0,0.7527996301651001,3.0824530124664307,4,0.0,
fixed,0,37,1.8911906480789185,0.0,0.1522062122821808,0.78843092918396,1.8911906480789185,4,0.0,
fixed,0,38,2.1958842277526855,0.012351090088486671,0.0,0.7800382971763611,2.1958842277526855,4,0.0,
fixed,0,39,2.035004138946533,0.0035402190405875444,0.10807216912508011,0.7613266706466675,2.035004138946533,4,0.0,
fixed,0,40,2.0338246822357178,0.013398237526416779,0.033148784190416336,0.7357782125473022,2.0338246822357178,4,0.0,1.351940393447876
fixed,0,41,1.9196032285690308,0.01663876324892044,0.03067728504538536,0.7095779776573181,1.9196032285690308,4,0.0,
fixed,0,42,2.8978028297424316,0.013453628867864609,0.05659851059317589,0.6904470920562744,2.8978028297424316,4,0.0,
fixed,0,43,1.5459086894989014,0.015955712646245956,0.0505199134349823,0.6728190779685974,1.5459086894989014,4,0.0,
fixed,0,44,2.3598320484161377,0.031435251235961914,0.022067846730351448,0.6589678525924683,2.3598320484161377,4,0.0,
fixed,0,45,1.657549262046814,0.023125983774662018,0.02162618562579155,0.6496083736419678,1.657549262046814,4,0.0,2.4628453254699707
fixed,0,46,1.5955896377563477,0.013147830963134766,0.051417648792266846,0.6437761783599854,1.5955896377563477,4,0.25,
fixed,0,47,3.0708749294281006,0.016422120854258537,0.015808027237653732,0.646110475063324,3.0708749294281006,4,1.0,
fixed,0,48,2.1657066345214844,0.03617747873067856,0.01349014975130558,0.628755509853363,2.1657066345214844,4,1.0,
fixed,0,49,2.168370246887207,0.03910091519355774,0.022268861532211304,0.6101419925689697,2.168370246887207,4,1.0,
fixed,0,50,2.369901180267334,0.062138862907886505,0.011320563033223152,0.5936726927757263,2.369901180267334,4,1.0,20.607999801635742
fixed,0,51,2.562795877456665,0.040490299463272095,0.021100439131259918,0.5722488164901733,2.562795877456665,4,1.0,
fixed,0,52,2.3416218757629395,0.05959386005997658,0.011692189611494541,0.5546377897262573,2.3416218757629395,4,1.0,
fixed,0,53,2.6516623497009277,0.036228567361831665,0.025798331946134567,0.530622124671936,2.6516623497009277,4,1.0,
fixed,0,54,2.4332339763641357,0.052111200988292694,0.011490842327475548,0.536385178565979,2.4332339763641357,4,1.0,
