[mlx] loaded 8008 raw examples

[mlx] === condition: fixed ===
Fetching 9 files:   0%|          | 0/9 [00:00<?, ?it/s]Fetching 9 files: 100%|██████████| 9/9 [00:00<00:00, 33584.28it/s]
[mlx] hedge ids (no resize): [151665, 151666, 151667, 151668]
Trainable parameters: 0.168% (12.780M/7615.617M)
[mlx] 8008 examples after tokenisation (max_len=128)
[mlx] hedge-head check: logit spread=0.000000 contrast_grad_norm=1048.275024
[mlx] fixed pre-train hedge dist (n=8008): {'[CONFIDENT]': 1.0, '[COND_CONFIDENT]': 0.0, '[TEMPORAL_HEDGE]': 0.0, '[UNKNOWN]': 0.0}
[mlx] fixed step 0 ce=13.0909 total=13.1516 grad=4.913531303405762 conf_frac=1.000 (1s)
[mlx] fixed step 50 ce=2.7981 total=2.8485 grad=6.92824649810791 conf_frac=1.000 (40s)
[mlx] fixed step 100 ce=1.0938 total=1.1426 grad=11.420759201049805 conf_frac=1.000 (80s)
[mlx] fixed step 150 ce=2.0359 total=2.0973 grad=7.3377885818481445 conf_frac=0.750 (121s)
[mlx] fixed step 200 ce=1.7593 total=1.8377 grad=13.510735511779785 conf_frac=1.000 (161s)
[mlx] fixed step 250 ce=1.7469 total=1.8143 grad=11.160773277282715 conf_frac=1.000 (206s)
[mlx] fixed step 300 ce=1.8054 total=1.8255 grad=1.4986165761947632 conf_frac=0.500 (248s)
[mlx] fixed step 350 ce=2.3769 total=2.4195 grad=6.929591178894043 conf_frac=0.500 (291s)
[mlx] fixed step 400 ce=1.6426 total=1.6822 grad=18.908599853515625 conf_frac=0.750 (335s)
[mlx] fixed step 450 ce=1.8886 total=1.9138 grad=6.770150184631348 conf_frac=0.500 (378s)
[mlx] fixed step 500 ce=2.7008 total=2.7342 grad=3.583618402481079 conf_frac=0.250 (420s)
[mlx] fixed step 550 ce=2.6825 total=2.7047 grad=10.083637237548828 conf_frac=0.500 (463s)
[mlx] fixed step 600 ce=2.0624 total=2.0833 grad=6.524141788482666 conf_frac=0.250 (505s)
[mlx] fixed step 650 ce=1.7816 total=1.8040 grad=6.700560569763184 conf_frac=0.500 (548s)
[mlx] fixed step 700 ce=2.4399 total=2.4580 grad=4.896950721740723 conf_frac=0.500 (590s)
[mlx] fixed step 750 ce=1.2016 total=1.2435 grad=18.243898391723633 conf_frac=0.500 (633s)
[mlx] fixed step 800 ce=2.3385 total=2.3652 grad=8.043396949768066 conf_frac=0.750 (677s)
[mlx] fixed step 850 ce=2.1252 total=2.1459 grad=7.478202819824219 conf_frac=0.500 (721s)
[mlx] fixed step 900 ce=1.9435 total=1.9651 grad=7.028069972991943 conf_frac=0.500 (765s)
[mlx] fixed step 950 ce=2.4447 total=2.4652 grad=7.719650745391846 conf_frac=0.500 (806s)
[mlx] fixed step 1000 ce=3.2669 total=3.2927 grad=8.37735366821289 conf_frac=0.250 (848s)
[mlx] fixed step 1050 ce=2.3112 total=2.3695 grad=0.8451036810874939 conf_frac=0.750 (890s)
[mlx] fixed step 1100 ce=1.8526 total=1.9099 grad=5.293858051300049 conf_frac=0.250 (932s)
[mlx] fixed step 1150 ce=1.8538 total=1.9550 grad=4.0366435050964355 conf_frac=0.750 (973s)
[mlx] fixed step 1200 ce=2.1429 total=2.1738 grad=9.761946678161621 conf_frac=0.500 (1015s)
[mlx] fixed step 1250 ce=2.0976 total=2.1205 grad=5.709705829620361 conf_frac=0.500 (1059s)
[mlx] fixed step 1300 ce=2.6437 total=2.6651 grad=8.10091781616211 conf_frac=0.500 (1103s)
[mlx] fixed step 1350 ce=1.8810 total=1.9095 grad=6.492762088775635 conf_frac=0.250 (1146s)
[mlx] fixed step 1400 ce=2.8079 total=2.8382 grad=2.1300344467163086 conf_frac=0.500 (1189s)
[mlx] fixed step 1450 ce=1.8597 total=1.8749 grad=5.150298118591309 conf_frac=0.250 (1231s)
[mlx] fixed step 1500 ce=1.9008 total=1.9565 grad=5.815042495727539 conf_frac=0.250 (1273s)
[mlx] fixed step 1550 ce=1.9910 total=2.0255 grad=5.70900297164917 conf_frac=0.500 (1315s)
[mlx] fixed step 1600 ce=1.6089 total=1.6280 grad=4.042356014251709 conf_frac=0.250 (1359s)
[mlx] fixed step 1650 ce=1.0066 total=1.0511 grad=5.727120399475098 conf_frac=0.750 (1404s)
[mlx] fixed step 1700 ce=1.5194 total=1.5446 grad=8.417710304260254 conf_frac=0.500 (1449s)
[mlx] fixed step 1750 ce=2.1643 total=2.2258 grad=0.6199238300323486 conf_frac=0.000 (1493s)
[mlx] fixed step 1800 ce=2.0715 total=2.0956 grad=7.660426616668701 conf_frac=0.500 (1537s)
[mlx] fixed step 1850 ce=1.3018 total=1.3865 grad=1.927237629890442 conf_frac=0.000 (1582s)
[mlx] fixed step 1900 ce=3.1717 total=3.2103 grad=2.927199363708496 conf_frac=0.250 (1626s)
