mode,epoch,step,ce,l_over,l_under,r_hedge,tcl_total,n_volatile,pred_confident_frac,c_hat_grad_norm
broken,0,0,10.109451293945312,0.0833333358168602,0.030000001192092896,1.1920928955078125e-07,10.166117668151855,3,0.75,0.0
broken,0,1,6.168002128601074,0.0833333358168602,0.0,0.0034404993057250977,6.210700988769531,3,1.0,0.0
broken,0,2,4.249297142028809,0.0625,0.0,0.0016120672225952148,4.281030654907227,4,1.0,0.0
broken,0,3,4.946150302886963,0.13500000536441803,0.0,0.00045299530029296875,5.013786315917969,4,1.0,0.0
broken,0,4,4.365458965301514,0.25,0.0,0.0006353855133056641,4.490649700164795,3,0.75,0.0
broken,0,5,4.147769451141357,0.0,0.6474999785423279,0.0013208389282226562,4.4719157218933105,4,0.0,0.0
broken,0,6,4.086090087890625,0.0,0.0612499974668026,0.002623915672302246,4.117502212524414,4,0.0,0.0
broken,0,7,3.920546293258667,0.0,0.030000001192092896,0.0035163164138793945,3.936601161956787,3,0.0,0.0
broken,0,8,3.537261962890625,0.0,0.030000001192092896,0.0048334598541259766,3.5537118911743164,3,0.0,0.0
broken,0,9,3.1615309715270996,0.0,0.125,0.006379485130310059,3.225944757461548,4,0.0,0.0
broken,0,10,6.205706596374512,0.0,0.02250000089406967,0.005417585372924805,6.218581676483154,4,0.0,0.0
broken,0,11,5.879414081573486,0.0,0.125,0.006716251373291016,5.9439287185668945,4,0.0,0.0
broken,0,12,5.50065279006958,0.0,0.125,0.005986690521240234,5.564949035644531,4,0.0,0.0
broken,0,13,4.641577243804932,0.0,0.02250000089406967,0.007044076919555664,4.654940605163574,4,0.0,0.0
broken,0,14,5.108719825744629,0.0,0.1666666716337204,0.011234760284423828,5.195423603057861,3,0.0,0.0
broken,0,15,5.148769378662109,0.0,0.0625,0.012282133102416992,5.183703899383545,4,0.0,0.0
broken,0,16,4.996104717254639,0.0,0.14750000834465027,0.012525320053100586,5.073612213134766,4,0.0,0.0
broken,0,17,4.695720195770264,0.0,0.25,0.014228343963623047,4.824988842010498,4,0.0,0.0
broken,0,18,5.453347682952881,0.0,0.14750000834465027,0.015735626220703125,5.531818389892578,4,0.0,0.0
broken,0,19,4.562990188598633,0.0,0.1875,0.018435955047607422,4.662271022796631,4,0.0,0.0
broken,0,20,3.591930866241455,0.0,0.1666666716337204,0.01760244369506836,3.680544853210449,3,0.0,0.0
broken,0,21,4.452581405639648,0.0,0.1666666716337204,0.020981311798095703,4.542209148406982,3,0.0,0.0
broken,0,22,4.785526752471924,0.0,0.0625,0.019077181816101074,4.822499752044678,4,0.0,0.0
broken,0,23,3.6197659969329834,0.0,0.0625,0.0186769962310791,3.656619071960449,4,0.0,0.0
broken,0,24,4.174047946929932,0.0,0.0625,0.018674373626708984,4.21090030670166,4,0.0,0.0
broken,0,25,5.050343990325928,0.0,0.08500000089406967,0.02016603946685791,5.098893642425537,4,0.0,0.0
broken,1,26,2.0968892574310303,0.0,0.0,0.02209329605102539,2.1035172939300537,4,0.0,0.0
broken,1,27,1.4855797290802002,0.0,0.1433333307504654,0.02338576316833496,1.5642621517181396,3,0.0,0.0
broken,1,28,1.809000015258789,0.0,0.25,0.0249173641204834,1.94147527217865,4,0.0,0.0
broken,1,29,1.1829473972320557,0.0,0.25,0.022313356399536133,1.3146413564682007,4,0.0,0.0
broken,1,30,1.7452340126037598,0.0,0.04500000178813934,0.017763972282409668,1.7730631828308105,2,0.0,0.0
broken,1,31,1.4161083698272705,0.0,0.14750000834465027,0.015401363372802734,1.4944788217544556,4,0.0,0.0
broken,1,32,0.8500510454177856,0.125,0.0,0.01471710205078125,0.9169661998748779,2,1.0,0.0
broken,1,33,1.5800127983093262,0.125,0.0,0.016187429428100586,1.6473690271377563,4,1.0,0.0
broken,1,34,2.1591429710388184,0.25,0.0,0.02170276641845703,2.290653705596924,4,1.0,0.0
broken,1,35,1.1827430725097656,0.1875,0.0,0.025020599365234375,1.2839992046356201,4,1.0,0.0
broken,1,36,1.5005344152450562,0.125,0.0,0.026606321334838867,1.5710163116455078,4,1.0,0.0
