mode,epoch,step,ce,l_over,l_under,r_hedge,tcl_total,n_volatile,pred_confident_frac,c_hat_grad_norm
broken,0,0,7.2695183753967285,0.0625,0.18062499165534973,2.384185791015625e-07,7.391080856323242,4,0.75,0.0
broken,0,1,4.950994491577148,0.02250000089406967,0.029999997466802597,0.0066912174224853516,4.979251861572266,4,0.0,0.0
broken,0,2,5.91020393371582,0.1875,0.0,0.002134561538696289,6.004594326019287,4,1.0,0.0
broken,0,3,5.942293167114258,0.0,0.3474999964237213,0.0008615255355834961,6.116301536560059,4,0.0,0.0
broken,0,4,4.661894798278809,0.0,0.19874998927116394,0.0006303787231445312,4.761458873748779,4,0.0,0.0
broken,0,5,4.292476177215576,0.02250000089406967,0.08500000089406967,0.0014973878860473633,4.346675395965576,4,0.0,0.0
broken,0,6,4.650716781616211,0.06750000268220901,0.0,0.0036635398864746094,4.685565948486328,4,0.0,0.0
broken,0,7,3.5562918186187744,0.06000000238418579,0.013333331793546677,0.006786942481994629,3.59499454498291,3,0.0,0.0
broken,0,8,4.72300910949707,0.02250000089406967,0.125,0.008906364440917969,4.799430847167969,4,0.0,0.0
broken,0,9,3.856874704360962,0.0,0.1666666716337204,0.00976550579071045,3.9431376457214355,3,0.0,0.0
broken,0,10,4.61734676361084,0.0,0.125,0.009735345840454102,4.682767391204834,4,0.0,0.0
broken,0,11,3.4896788597106934,0.0,0.0833333358168602,0.010528326034545898,3.534503936767578,3,0.0,0.0
broken,0,12,3.665027618408203,0.0,0.0,0.01134037971496582,3.6684298515319824,4,0.0,0.0
broken,0,13,4.141419887542725,0.0,0.25,0.013683557510375977,4.270524978637695,4,0.0,0.0
broken,0,14,3.897409439086914,0.0,0.08500000089406967,0.01622927188873291,3.9447782039642334,4,0.0,0.0
broken,0,15,5.088465213775635,0.0,0.0833333358168602,0.018343210220336914,5.135634899139404,3,0.0,0.0
broken,0,16,4.2647833824157715,0.0,0.125,0.019395828247070312,4.333102226257324,4,0.0,0.0
broken,0,17,4.179515838623047,0.0,0.125,0.01937735080718994,4.247828960418701,4,0.0,0.0
broken,0,18,3.6153335571289062,0.0,0.0833333358168602,0.02003633975982666,3.663011074066162,3,0.0,0.0
broken,0,19,4.383731365203857,0.0,0.125,0.02084505558013916,4.452485084533691,4,0.0,0.0
broken,0,20,3.887507677078247,0.0,0.08500000089406967,0.023114681243896484,3.9369421005249023,4,0.0,0.0
broken,0,21,3.979600667953491,0.0,0.125,0.021604418754577637,4.048582077026367,4,0.0,0.0
