[mlx] loaded 8008 raw examples

[mlx] === condition: fixed ===
Fetching 9 files:   0%|          | 0/9 [00:00<?, ?it/s]Fetching 9 files: 100%|██████████| 9/9 [00:00<00:00, 25944.15it/s]
[mlx] hedge ids (no resize): [151665, 151666, 151667, 151668]
Trainable parameters: 0.168% (12.780M/7615.617M)
[mlx] 8008 examples after tokenisation (max_len=128)
[mlx] hedge-head check: logit spread=0.000000 contrast_grad_norm=1166.620605
[mlx] fixed pre-train hedge dist (n=8008): {'[CONFIDENT]': 1.0, '[COND_CONFIDENT]': 0.0, '[TEMPORAL_HEDGE]': 0.0, '[UNKNOWN]': 0.0}
[mlx] fixed step 0 ce=11.1591 total=11.1826 grad=2.6270954608917236 conf_frac=1.000 (1s)
[mlx] fixed step 50 ce=2.3936 total=2.4390 grad=9.756733894348145 conf_frac=1.000 (44s)
[mlx] fixed step 100 ce=1.9647 total=2.0420 grad=17.071266174316406 conf_frac=0.000 (88s)
[mlx] fixed step 150 ce=2.1404 total=2.1854 grad=10.058110237121582 conf_frac=0.000 (131s)
[mlx] fixed step 200 ce=2.3256 total=2.3761 grad=17.741106033325195 conf_frac=0.750 (172s)
[mlx] fixed step 250 ce=1.7636 total=1.7838 grad=3.936112880706787 conf_frac=0.500 (215s)
[mlx] fixed step 300 ce=2.2404 total=2.2927 grad=1.1290481090545654 conf_frac=0.750 (257s)
[mlx] fixed step 350 ce=1.4547 total=1.5779 grad=1.7062128782272339 conf_frac=0.000 (300s)
[mlx] fixed step 400 ce=2.9918 total=3.1082 grad=4.043253421783447 conf_frac=1.000 (342s)
[mlx] fixed step 450 ce=2.1919 total=2.2403 grad=9.939901351928711 conf_frac=0.750 (384s)
[mlx] fixed step 500 ce=2.0081 total=2.0793 grad=15.606741905212402 conf_frac=1.000 (433s)
[mlx] fixed step 550 ce=1.7319 total=1.7548 grad=11.233148574829102 conf_frac=0.500 (483s)
[mlx] fixed step 600 ce=2.1482 total=2.1807 grad=11.11671257019043 conf_frac=0.500 (527s)
[mlx] fixed step 650 ce=1.9380 total=1.9807 grad=6.992204189300537 conf_frac=0.750 (572s)
[mlx] fixed step 700 ce=1.9565 total=1.9893 grad=5.857920169830322 conf_frac=0.250 (618s)
[mlx] fixed step 750 ce=1.7616 total=1.8003 grad=3.9811127185821533 conf_frac=0.500 (661s)
[mlx] fixed step 800 ce=1.0639 total=1.1527 grad=5.419072151184082 conf_frac=1.000 (706s)
[mlx] fixed step 850 ce=2.2293 total=2.2559 grad=3.3803353309631348 conf_frac=0.500 (748s)
[mlx] fixed step 900 ce=2.8042 total=2.8212 grad=5.047281742095947 conf_frac=0.250 (792s)
[mlx] fixed step 950 ce=1.8060 total=1.8228 grad=8.132059097290039 conf_frac=0.500 (836s)
[mlx] fixed step 1000 ce=2.6500 total=2.6977 grad=16.176374435424805 conf_frac=0.250 (879s)
[mlx] fixed step 1050 ce=1.7479 total=1.7694 grad=8.054933547973633 conf_frac=0.500 (923s)
[mlx] fixed step 1100 ce=3.0950 total=3.1546 grad=1.9512101411819458 conf_frac=0.000 (966s)
[mlx] fixed step 1150 ce=1.8525 total=1.8847 grad=8.917625427246094 conf_frac=0.500 (1009s)
[mlx] fixed step 1200 ce=0.9607 total=1.0385 grad=1.9648994207382202 conf_frac=0.000 (1053s)
[mlx] fixed step 1250 ce=3.0046 total=3.0526 grad=17.936355590820312 conf_frac=0.750 (1097s)
[mlx] fixed step 1300 ce=2.3106 total=2.3474 grad=6.362259864807129 conf_frac=0.250 (1140s)
[mlx] fixed step 1350 ce=1.8225 total=1.8659 grad=3.498981475830078 conf_frac=0.500 (1184s)
[mlx] fixed step 1400 ce=2.1198 total=2.1580 grad=12.975584983825684 conf_frac=0.750 (1227s)
[mlx] fixed step 1450 ce=1.1433 total=1.1741 grad=13.660148620605469 conf_frac=0.500 (1270s)
[mlx] fixed step 1500 ce=1.5105 total=1.5566 grad=11.717156410217285 conf_frac=0.750 (1314s)
[mlx] fixed step 1550 ce=2.0492 total=2.0687 grad=6.515605449676514 conf_frac=0.250 (1358s)
[mlx] fixed step 1600 ce=3.1959 total=3.2243 grad=8.678624153137207 conf_frac=0.500 (1404s)
[mlx] fixed step 1650 ce=1.7282 total=1.7523 grad=9.862934112548828 conf_frac=0.500 (1448s)
[mlx] fixed step 1700 ce=2.0302 total=2.1485 grad=5.616652011871338 conf_frac=0.750 (1492s)
[mlx] fixed step 1750 ce=1.1707 total=1.2066 grad=6.204697132110596 conf_frac=0.500 (1534s)
[mlx] fixed step 1800 ce=2.4382 total=2.4584 grad=2.6333906650543213 conf_frac=0.500 (1577s)
[mlx] fixed step 1850 ce=1.0031 total=1.0212 grad=3.158140182495117 conf_frac=0.250 (1623s)
[mlx] fixed step 1900 ce=2.1250 total=2.1531 grad=6.154552459716797 conf_frac=0.500 (1673s)
