mode,epoch,step,ce,l_over,l_under,r_hedge,tcl_total,n_volatile,pred_confident_frac,c_hat_grad_norm
fixed,0,0,13.19129467010498,0.00949218962341547,0.008789063431322575,0.0,13.200435638427734,4,1.0,0.7311413884162903
fixed,0,1,9.508626937866211,0.0054993582889437675,0.07800433039665222,0.0008651018142700195,9.550638198852539,4,0.0,
fixed,0,2,5.363144397735596,0.009528988972306252,0.03752148523926735,0.0013977289199829102,5.387088775634766,4,0.0,
fixed,0,3,3.854130744934082,0.002891800133511424,0.08766250312328339,0.0016399621963500977,3.899899959564209,4,0.0,
fixed,0,4,3.971043109893799,0.010526139289140701,0.0338849313557148,0.011225223541259766,3.9966161251068115,4,0.0,
fixed,0,5,3.249952554702759,0.004552009981125593,0.0694737583398819,0.049112915992736816,3.30169939994812,4,0.0,6.697072505950928
fixed,0,6,2.9281651973724365,0.0,0.11485514789819717,0.09005498886108398,3.0126092433929443,4,0.0,
fixed,0,7,2.2683322429656982,0.027752308174967766,0.02431917004287243,0.10547089576721191,2.3260092735290527,4,0.0,
fixed,0,8,1.8352234363555908,0.011546657420694828,0.06287386268377304,0.1274501085281372,1.9106687307357788,4,0.0,
fixed,0,9,2.8922126293182373,0.04811669886112213,0.015404642559587955,0.1716442108154297,2.97546648979187,4,1.0,
fixed,0,10,2.814960479736328,0.05313541740179062,0.013246342539787292,0.1946427822113037,2.9065442085266113,4,1.0,16.355857849121094
fixed,0,11,2.077188014984131,0.04143204912543297,0.017631126567721367,0.23045670986175537,2.175856590270996,4,0.0,
fixed,0,12,2.8137145042419434,0.010455591604113579,0.03711806610226631,0.3192763328552246,2.933284282684326,4,0.0,
fixed,0,13,1.8602105379104614,0.0097752520814538,0.06584322452545166,0.16875159740447998,1.9486452341079712,4,0.0,
fixed,0,14,2.407602548599243,0.0,0.13369354605674744,0.0026324987411499023,2.4752390384674072,4,1.0,
fixed,0,15,2.677121877670288,0.0570802241563797,0.00022066121164243668,0.18998324871063232,2.7627673149108887,4,1.0,50.377845764160156
fixed,0,16,1.6646199226379395,0.01598007045686245,0.04666346684098244,0.14906716346740723,1.740661859512329,4,1.0,
fixed,0,17,1.9721100330352783,0.012623650953173637,0.05683429539203644,0.10651707649230957,2.0387940406799316,4,1.0,
fixed,0,18,2.3945505619049072,0.0,0.06237611547112465,0.1128462553024292,2.459592580795288,4,1.0,
fixed,0,19,2.388381242752075,0.03939547762274742,0.001513464143499732,0.11809432506561279,2.4442639350891113,4,1.0,
fixed,0,20,1.81644606590271,0.012006687931716442,0.06093485653400421,0.0846031904220581,1.8782978057861328,4,0.0,22.321348190307617
fixed,0,21,2.04477596282959,0.0098257539793849,0.03565937653183937,0.14492714405059814,2.110996723175049,4,0.0,
fixed,0,22,3.4045019149780273,0.006556551903486252,0.040021635591983795,0.169974684715271,3.478783369064331,4,0.0,
fixed,0,23,3.143571138381958,0.0044155302457511425,0.08515667915344238,0.09947836399078369,3.21820068359375,4,0.0,
fixed,0,24,1.4465665817260742,0.006260482594370842,0.0379747599363327,0.03156447410583496,1.4781535863876343,4,0.0,
fixed,0,25,1.902358055114746,0.009366928599774837,0.037704095244407654,0.009887099266052246,1.9288597106933594,4,0.0,3.3579602241516113
fixed,0,26,1.9946248531341553,0.004881075117737055,0.0946006029844284,0.03311502933502197,2.054300308227539,4,1.0,
fixed,0,27,2.385655641555786,0.018092524260282516,0.026271171867847443,0.07587158679962158,2.4305989742279053,4,1.0,
fixed,0,28,2.2032575607299805,0.0,0.08686989545822144,0.07905995845794678,2.2704105377197266,4,1.0,
fixed,0,29,2.0627377033233643,0.07276658713817596,0.0,0.1875694990158081,2.1553919315338135,4,1.0,
fixed,0,30,2.960286855697632,0.0,0.06817170977592468,0.1279057264328003,3.0327444076538086,4,1.0,45.918087005615234
fixed,0,31,2.4528462886810303,0.04302956908941269,0.0006024343310855329,0.1390693187713623,2.516383171081543,4,1.0,
fixed,0,32,2.572840452194214,0.028812915086746216,0.022775884717702866,0.08649861812591553,2.624584436416626,4,0.25,
fixed,0,33,2.5757575035095215,0.005774474702775478,0.06527365744113922,0.09437298774719238,2.6395933628082275,4,0.0,
fixed,0,34,2.0460753440856934,0.00405128626152873,0.1004166230559349,0.09321832656860352,2.126274824142456,4,0.0,
fixed,0,35,1.666872262954712,0.009085685014724731,0.0678447037935257,0.05810236930847168,1.7227681875228882,4,0.0,20.35881805419922
fixed,0,36,1.154109001159668,0.0,0.12817414104938507,0.02722787857055664,1.2263643741607666,4,0.0,
fixed,0,37,2.320651054382324,0.0,0.10759200155735016,0.025765180587768555,2.382176637649536,4,1.0,
fixed,0,38,2.1090378761291504,0.029751118272542953,0.03207746148109436,0.12849605083465576,2.1785008907318115,4,1.0,
fixed,0,39,2.1050920486450195,0.04070263355970383,0.02240407094359398,0.23771977424621582,2.207961320877075,4,1.0,
fixed,0,40,2.3430981636047363,0.06104831397533417,0.010717817582190037,0.25564777851104736,2.4556756019592285,4,1.0,35.22792434692383
fixed,0,41,1.5597913265228271,0.028592171147465706,0.03411724045872688,0.15621554851531982,1.6380107402801514,4,1.0,
fixed,0,42,3.0059762001037598,0.01548513863235712,0.029048603028059006,0.06438171863555908,3.0475575923919678,4,1.0,
